ecg,emgz,emg,eda
-0.0021362,0.013123,-0.06897,1.4911
-0.011292,0.012207,-0.064392,1.4902
-0.051575,0.00091553,-0.050354,1.4914
-0.089111,0.0042725,-0.033264,1.4911
-0.08728,-0.00091553,-0.0177,1.4911
-0.056763,-0.0054932,-0.0018311,1.4914
-0.03479,-0.0079346,0.011902,1.4911
-0.026855,-0.0076294,0.032349,1.4911
-0.021057,-0.0085449,0.039978,1.4911
0.00091553,-0.015869,0.056152,1.4911
0.041809,-0.018311,0.050659,1.4905
0.075073,-0.013733,0.036926,1.4908
0.079956,-0.012207,0.023193,1.4911
0.064392,-0.014343,0.012207,1.4908
0.037537,-0.014343,0.0015259,1.4905
0.0042725,-0.0085449,-0.0091553,1.4908
-0.028076,-0.0024414,-0.022583,1.4908
-0.041809,0.0033569,-0.037537,1.4905
-0.033569,0.0021362,-0.05127,1.4902
-0.035095,0.0073242,-0.06897,1.4908
-0.053101,0.014648,-0.071716,1.4908
-0.06897,0.014343,-0.066833,1.4911
-0.055847,0.00091553,-0.059509,1.4911
-0.016785,-0.0042725,-0.055237,1.4902
0.0021362,-0.0061035,-0.02594,1.4908
-0.024719,-0.01709,-0.0076294,1.4905
-0.037842,-0.029907,0.022583,1.4905
-0.021667,-0.026855,0.030518,1.4902
-0.0073242,-0.025024,0.039063,1.4905
-0.0036621,-0.024414,0.047302,1.4905
-0.0064087,-0.024414,0.041504,1.4905
-0.012512,-0.013733,0.024414,1.4908
-0.027161,-0.0079346,0.015869,1.4899
-0.045166,-0.0067139,0.0088501,1.4905
-0.050659,-0.0027466,-0.0015259,1.4899
-0.044556,-0.0045776,-0.010681,1.4905
-0.033569,0.0033569,-0.022278,1.4905
-0.019531,0.022278,-0.031128,1.4902
-0.020447,0.015564,-0.043945,1.4911
-0.046082,0.011902,-0.056458,1.4902
-0.086365,0.017395,-0.054016,1.4902
-0.11505,0.015564,-0.054626,1.4902
-0.11963,0.0057983,-0.043945,1.4908
-0.11841,0.00061035,-0.031738,1.4902
-0.11139,0.0012207,-0.011902,1.4902
-0.11963,-0.0012207,0.0067139,1.4905
-0.12238,-0.010986,0.0018311,1.4905
-0.074158,-0.0079346,0.018616,1.4905
-0.00061035,-0.0030518,0.055542,1.4902
0.051575,-0.0048828,0.064697,1.4902
0.071411,-0.0177,0.057678,1.4899
0.076294,-0.014648,0.049133,1.4902
0.093384,-0.013123,0.036316,1.4896
0.10773,-0.015564,0.019226,1.4905
0.062866,-0.012207,-0.011597,1.4905
